Entry,Cross-reference (Pfam),Cross-reference (InterPro)
Q46906,PF04309;,IPR006699;IPR035928;
Q46907,PF01012;PF00766;,IPR029035;IPR014730;IPR001308;IPR014731;IPR014729;
Q46908,PF01012;,IPR014730;IPR012255;IPR033948;IPR014729;
P0ADR8,PF11892;PF14793;PF03641;,IPR021826;IPR031100;IPR037153;IPR027820;
P0AGF2,PF02657;,IPR017763;IPR003808;
P03813,PF01177;,IPR015942;IPR001920;IPR018187;IPR033134;IPR004380;
P76639,PF00486;,IPR001867;IPR016032;IPR013026;IPR011990;IPR019734;IPR036388;
Q46802,PF02954;PF13188;PF00158;,IPR003593;IPR009057;IPR002197;IPR027417;IPR000014;IPR035965;IPR002078;IPR025662;IPR025943;IPR025944;
P52037,,IPR036291;IPR020904;IPR002347;
P52043,PF13336;PF02550;,IPR026888;IPR038460;IPR003702;IPR037171;IPR017821;
Q46810,PF12804;,IPR017696;IPR025877;IPR029044;
Q46811,PF14691;PF07992;,IPR017896;IPR017900;IPR028261;IPR036188;IPR023753;IPR009051;IPR017701;
P64559,PF03937;,IPR005631;IPR036714;
P25894,PF01435;,IPR001915;
P0A8I5,PF02390;,IPR029063;IPR003358;
P46142,PF06717;,IPR009592;
P52052,PF00437;,IPR003593;IPR027417;IPR006321;IPR001482;
P0A8P3,PF04362;,IPR007457;IPR036766;
Q46834,PF11356;,IPR036034;IPR001639;IPR024961;
Q46839,PF02652;,IPR003804;
Q46840,,IPR016181;IPR039968;
Q46841,PF01943;,IPR002797;
Q46844,,IPR027417;
Q46851,PF00248;,IPR023210;IPR036812;
P30871,PF01928;,IPR007899;IPR033469;IPR023577;IPR039013;
P39834,PF00419;,IPR000259;IPR036937;IPR008966;
P0ADU2,PF03992;,IPR007138;IPR011008;
P45463,PF00126;PF03466;,IPR005119;IPR000847;IPR036388;IPR036390;
Q46864,PF15731;,IPR001387;IPR010982;IPR022452;IPR032758;IPR022453;
P05852,PF00814;,IPR000905;IPR017861;IPR017860;IPR022450;
P42588,PF00202;,IPR005814;IPR017747;IPR015424;IPR015422;IPR015421;
P42592,PF01204;,IPR008928;IPR012341;IPR001661;
P67701,PF01381;,IPR039060;IPR001387;IPR010982;
P64578,PF09907;,IPR018669;
P42596,PF05175;,IPR002052;IPR017237;IPR029063;IPR007848;
P42599,PF01408;,IPR036291;IPR000683;
P42624,PF02678;,IPR012093;IPR003829;IPR014710;IPR011051;
P0A8A8,PF02576;PF17384;,IPR003728;IPR028998;IPR036847;IPR028989;IPR035956;
P0AFX0,PF02482;,IPR036567;IPR003489;
P0A894,PF03668;,IPR027417;IPR005337;
P45527,PF01136;,IPR001539;IPR036206;
P45475,PF01136;,IPR001539;
P0AGK4,PF01985;,IPR001890;IPR017924;IPR035920;
P28722,PF00345;,IPR013783;IPR008962;IPR036316;IPR016147;
P45424,PF04074;,IPR004375;IPR037012;
P64612,PF03969;,IPR005654;IPR027417;IPR030870;
P64616,PF01337;,IPR000468;IPR035905;
P26646,PF08240;PF00107;,IPR014188;IPR013149;IPR013154;IPR011032;IPR036291;IPR020843;
P28638,PF01555;,IPR002941;IPR002052;IPR001091;IPR029063;
P36677,PF09350;,IPR018961;
P46474,PF13502;PF13116;,IPR032712;IPR011836;IPR025263;
P45768,PF00528;,IPR010065;IPR000515;IPR035906;
P45769,PF00005;,IPR003593;IPR030679;IPR003439;IPR017871;IPR027417;
P45531,PF02635;,IPR027396;IPR003787;IPR037450;IPR017462;
P63389,PF00005;PF12848;,IPR003593;IPR032781;IPR003439;IPR017871;IPR027417;
P0ADX5,PF10832;,IPR022541;
P45549,PF01676;,IPR017849;IPR017850;IPR010045;IPR006124;IPR024052;
P46837,PF00575;PF09371;PF16921;,IPR012340;IPR012337;IPR010994;IPR022967;IPR003029;IPR023323;IPR023319;IPR018974;IPR032639;IPR006641;IPR037027;
P0ADX7,PF10956;,IPR020158;
P0ADX9,,IPR002052;IPR004398;IPR029063;
P28912,PF01609;PF13808;,IPR002559;IPR032806;
P46852,PF02678;,IPR012093;IPR003829;IPR014710;IPR011051;
P46853,PF01408;PF02894;,IPR036291;IPR000683;IPR004104;
P37195,PF00196;,IPR016032;IPR000792;IPR036388;
P37627,PF13258;,IPR025123;
P37629,PF13258;,IPR025123;
P37631,,IPR004792;IPR036188;IPR023166;
P37634,PF04378;,IPR002052;IPR007473;IPR029063;
P37640,PF00196;,IPR016032;IPR000792;
P37646,PF00563;,IPR001633;IPR035919;
P37649,PF00563;PF17154;PF00990;PF00672;,IPR001633;IPR035919;IPR033419;IPR000160;IPR003660;IPR029787;
P37664,PF13673;,IPR016181;IPR000182;
P37665,PF13488;PF00691;,IPR039567;IPR006664;IPR006665;IPR006690;IPR036737;
P0ADK0,PF11254;,IPR021413;
P37669,PF01757;,IPR002656;IPR032905;
P56256,PF13247;,IPR017896;IPR017900;
P0ADK6,,IPR011989;IPR016024;
P0ACA1,PF00043;PF13417;,IPR010987;IPR036282;IPR004045;IPR004046;IPR036249;IPR034343;
P0ADK8,PF10928;,IPR021230;
P23839,PF08340;PF03755;,IPR005229;IPR013551;IPR013527;
P31434,PF13802;PF01055;,IPR011013;IPR000322;IPR025887;IPR013780;IPR017853;
P25531,PF04002;,IPR037518;IPR025657;IPR010994;IPR001405;IPR020891;IPR022820;
P0A8Y5,,IPR000150;IPR036412;IPR006379;IPR023214;
P25714,PF02096;PF14849;,IPR019998;IPR028055;IPR028053;IPR001708;IPR038210;IPR038221;
P31448,PF00474;,IPR038377;IPR001734;IPR018212;
P31453,PF00392;PF07702;,IPR028978;IPR000524;IPR011663;IPR036388;IPR036390;
P31463,PF00126;PF03466;,IPR005119;IPR000847;IPR023746;IPR036388;IPR036390;IPR037402;
P0ADN0,PF05762;,IPR008912;IPR023481;IPR002035;IPR036465;
P31473,PF07728;PF12592;,IPR003593;IPR011704;IPR023671;IPR022547;IPR027417;
P27862,PF09186;PF01205;,IPR035647;IPR023582;IPR015796;IPR001498;IPR036956;IPR020568;IPR015269;IPR020569;
P0ADP9,PF06288;,IPR009383;IPR038134;
P0A8H6,PF04220;,IPR007336;
P32139,PF01263;,IPR008183;IPR011013;IPR014718;IPR037480;
P0AFU6,,IPR013321;
P32156,PF05336;,IPR011008;IPR013448;IPR008000;
P32157,PF03475;PF03473;,IPR005163;IPR005302;IPR011037;
P32677,PF12833;,IPR009057;IPR018060;IPR018062;IPR020449;
P09162,,
P09163,PF13673;,IPR016181;IPR000182;
P32681,PF07356;,IPR010858;IPR016500;
P32685,PF11656;,IPR020317;
P68206,PF05532;,IPR008462;IPR026042;IPR036629;
P0AF50,PF04237;,IPR007351;IPR038056;
P32704,PF00805;,IPR001646;
P32714,PF02321;,IPR003423;IPR010131;
P32715,PF04632;,IPR006726;
P0DM85,PF00350;,IPR022812;IPR030381;IPR027417;
P0DM86,PF00350;,IPR022812;IPR030381;IPR027417;
P0AF59,PF06902;,IPR010693;
P39274,PF14542;,IPR016181;IPR031165;
P0AF63,PF02082;,IPR030489;IPR000944;IPR023761;IPR036388;IPR036390;
P0AF67,PF02367;,IPR027417;IPR003442;
P31806,PF01256;PF03853;,IPR017953;IPR000631;IPR030677;IPR029056;IPR004443;IPR036652;
P39277,PF13520;,IPR002293;
P39279,PF15922;,IPR031810;
P39280,PF04055;,IPR013785;IPR022462;IPR003739;IPR007197;
P39288,PF08331;,IPR017896;IPR017900;IPR013542;IPR009051;IPR004453;
P0AF76,PF09938;,IPR019231;
P39293,PF10679;,IPR019621;
P39298,PF00326;,IPR029058;IPR001375;
P39308,PF10887;,IPR021220;
P0AF90,PF06877;,IPR016716;IPR036701;IPR009671;
P39332,PF01042;,IPR035959;IPR006175;IPR038743;
P39336,,
P39342,PF05872;,IPR033186;IPR027417;
P39353,PF01408;PF02894;,IPR036291;IPR000683;IPR004104;
P39358,PF00920;,IPR017798;IPR000581;IPR020558;IPR037237;
P39360,PF01614;,IPR029016;IPR014757;IPR005471;IPR036388;IPR036390;
P39367,PF13847;,IPR025714;IPR017031;IPR029063;
Q47719,,
P39374,PF10887;,IPR021220;
P39376,PF00126;PF03466;,IPR005119;IPR000847;IPR036388;IPR036390;
P39389,PF00155;PF00392;,IPR004839;IPR015424;IPR015422;IPR015421;IPR000524;IPR036388;IPR036390;
P39391,,
P37342,PF11230;,IPR016905;
P0A9W3,PF00005;PF12848;,IPR003593;IPR032781;IPR003439;IPR017871;IPR022374;IPR027417;
P39407,PF01734;,IPR016035;IPR002641;IPR037483;
P39408,PF01026;,IPR018228;IPR032466;IPR001130;
P39409,PF04055;,IPR017896;IPR017900;IPR013785;IPR034457;IPR012839;IPR001989;IPR007197;IPR023912;
Q47685,PF04002;,IPR037518;IPR025657;IPR001405;IPR020891;
P77692,PF06755;,IPR009610;
P77212,PF07992;PF02852;,IPR036188;IPR023753;IPR016156;IPR001100;IPR004099;IPR012999;
P0A7N1,PF01197;,IPR034704;IPR002150;IPR027493;
Q79E92,PF01527;,IPR009057;IPR002514;
P0AEI4,PF04055;PF00919;,IPR006638;IPR005839;IPR020612;IPR013848;IPR038135;IPR005840;IPR007197;IPR023404;IPR002792;
P0ACA7,PF00043;PF13417;,IPR010987;IPR036282;IPR004045;IPR004046;IPR036249;
P75883,PF06251;,IPR010425;
P75885,,
P75919,PF13091;,IPR030871;IPR025202;IPR001736;
P75966,PF00849;,IPR020103;IPR000748;IPR018496;IPR006145;
P75993,PF10798;,IPR024753;
P76091,,IPR000374;
P76092,PF12146;PF12147;,IPR029058;IPR022742;IPR022744;IPR029063;
P76093,PF00782;,IPR000340;IPR024950;IPR029021;IPR016130;IPR003595;IPR000387;IPR020422;
P76116,,IPR011048;IPR015943;
P76150,,
P76170,PF06932;,IPR009700;
P67553,PF06788;,IPR010646;
P76172,PF06649;,IPR010595;
P77374,PF04879;PF00384;PF01568;,IPR011888;IPR009010;IPR006657;IPR006656;IPR006963;IPR006655;IPR006311;
P77783,PF04879;PF00384;PF01568;,IPR011888;IPR009010;IPR006657;IPR006656;IPR006963;IPR006655;IPR027467;IPR006311;
P0A6E9,,IPR004472;IPR027417;
P76193,PF01476;PF03734;,IPR005490;IPR018392;IPR038063;
P77247,,IPR036412;IPR006439;IPR023214;IPR023198;
P76257,PF13307;PF04851;,IPR006555;IPR014013;IPR006935;IPR014001;IPR027417;
P0AEC0,PF03471;PF03741;,IPR000644;IPR036318;IPR016169;IPR005496;IPR005170;
P76344,PF09223;,IPR012674;IPR015304;
P64519,PF10733;,IPR019669;
P69348,PF06769;,IPR035093;IPR009614;
P33366,PF09335;,IPR032816;
P64530,PF02583;,IPR003735;IPR038390;
P64534,PF11776;,IPR024572;
P0AE39,PF04397;PF00072;,IPR011006;IPR007492;IPR001789;
P77396,PF12833;,IPR009057;IPR018060;IPR018062;IPR020449;
P77439,PF05524;PF00391;PF02896;PF00381;PF00359;,IPR000032;IPR035895;IPR008279;IPR000121;IPR023151;IPR036637;IPR016152;IPR006318;IPR002178;IPR008731;IPR004715;IPR036618;IPR015813;IPR040442;
P76524,PF01321;PF00557;,IPR029149;IPR036005;IPR000587;IPR000994;IPR001714;
P76539,PF00583;,IPR023072;IPR016181;IPR000182;
P63746,PF00936;,IPR037233;IPR009307;IPR000249;
P76561,PF02230;,IPR029058;IPR003140;
P52143,PF16168;PF03797;PF03212;,IPR030930;IPR005546;IPR036709;IPR006315;IPR012332;IPR011050;IPR004899;IPR003991;
Q46953,PF06755;,IPR009610;
P77475,,IPR010976;IPR036412;IPR006439;IPR023214;IPR023198;
Q46919,PF04287;,IPR007384;IPR023376;IPR036814;
P77031,PF07690;,IPR011701;IPR020846;IPR036259;
Q46808,PF13478;PF02625;,IPR017695;IPR003777;IPR027051;
Q46939,PF02803;PF00108;,IPR002155;IPR016039;IPR020615;IPR020610;IPR020617;IPR020613;IPR020616;
Q46941,PF00196;,IPR016032;IPR000792;
Q46942,PF00486;,IPR001867;IPR016032;IPR036388;
Q46855,PF06719;PF12833;,IPR009057;IPR018060;IPR009594;
Q46856,PF00465;,IPR001670;IPR018211;
Q46868,PF04380;,IPR007475;
P67087,PF00590;,IPR000878;IPR035996;IPR014777;IPR014776;IPR008189;IPR018063;
P45464,PF04348;,IPR007443;IPR008939;IPR028082;IPR011990;
P45465,PF02021;,IPR011335;IPR011856;IPR003509;
P45468,PF03773;,IPR005524;
P63386,PF00005;,IPR003593;IPR003439;IPR017871;IPR030296;IPR027417;
P0ADV9,PF06835;,IPR010664;IPR026265;
P45748,PF01300;,IPR017945;IPR023535;IPR006070;
P45751,,
P0ADE4,PF01103;PF07244;PF17243;,IPR000184;IPR010827;IPR039910;IPR034746;IPR035243;
P39321,PF04357;,IPR007452;
P0AE48,PF06094;,IPR009288;IPR039126;IPR013024;IPR036568;
P39328,PF02653;,IPR001851;
P0ACS5,PF13411;,IPR009061;IPR000551;IPR011788;
P14375,PF02954;PF00072;PF00158;,IPR003593;IPR011006;IPR009057;IPR002197;IPR027417;IPR001789;IPR002078;IPR025662;IPR025943;IPR025944;
P0AC53,PF02781;PF00479;,IPR001282;IPR019796;IPR022675;IPR022674;IPR036291;
